total_minutes,social_media_minutes,productivity_minutes,entertainment_minutes,top_app_ratio,social_media_ratio,productivity_ratio,app_count,risk_label
85,10,50,15,0.41,0.12,0.59,5,healthy
120,20,70,20,0.38,0.17,0.58,6,healthy
95,15,60,10,0.42,0.16,0.63,4,healthy
110,25,55,20,0.35,0.23,0.50,5,healthy
140,30,80,20,0.40,0.21,0.57,7,healthy
100,20,65,10,0.44,0.20,0.65,5,healthy
75,5,55,10,0.47,0.07,0.73,4,healthy
130,25,75,25,0.37,0.19,0.58,6,healthy
90,18,50,15,0.39,0.20,0.56,5,healthy
115,22,68,18,0.41,0.19,0.59,6,healthy
105,28,52,18,0.36,0.27,0.50,5,healthy
88,12,58,12,0.43,0.14,0.66,5,healthy
145,35,85,18,0.38,0.24,0.59,7,healthy
92,16,60,14,0.45,0.17,0.65,5,healthy
118,24,72,16,0.40,0.20,0.61,6,healthy
200,80,40,50,0.42,0.40,0.20,6,moderate
240,100,30,70,0.44,0.42,0.13,7,moderate
180,75,35,45,0.40,0.42,0.19,5,moderate
220,90,50,55,0.41,0.41,0.23,6,moderate
260,105,45,65,0.43,0.40,0.17,7,moderate
190,78,42,48,0.39,0.41,0.22,6,moderate
210,85,38,60,0.45,0.40,0.18,5,moderate
230,95,55,52,0.42,0.41,0.24,7,moderate
175,72,40,44,0.38,0.41,0.23,5,moderate
245,100,48,62,0.44,0.41,0.20,6,moderate
215,88,45,55,0.40,0.41,0.21,6,moderate
195,80,42,50,0.43,0.41,0.22,5,moderate
255,105,50,65,0.42,0.41,0.20,7,moderate
185,76,38,48,0.39,0.41,0.21,5,moderate
235,96,52,58,0.41,0.41,0.22,6,moderate
350,210,20,80,0.62,0.60,0.06,5,high
420,270,15,90,0.65,0.64,0.04,4,high
400,245,18,95,0.63,0.61,0.05,5,high
380,230,22,88,0.61,0.61,0.06,4,high
450,285,10,100,0.67,0.63,0.02,3,high
360,220,16,82,0.62,0.61,0.04,4,high
430,265,12,95,0.64,0.62,0.03,4,high
390,238,20,90,0.63,0.61,0.05,5,high
410,252,14,92,0.65,0.61,0.03,4,high
370,225,18,85,0.61,0.61,0.05,5,high
440,275,11,98,0.66,0.63,0.03,3,high
355,215,17,80,0.62,0.61,0.05,4,high
425,262,13,92,0.64,0.62,0.03,4,high
395,242,19,88,0.63,0.61,0.05,5,high
415,255,15,94,0.65,0.61,0.04,4,high
160,40,45,55,0.36,0.25,0.28,6,moderate
170,45,48,60,0.37,0.26,0.28,6,moderate
155,38,42,52,0.35,0.25,0.27,5,moderate
165,43,46,57,0.36,0.26,0.28,6,moderate
175,47,50,60,0.38,0.27,0.29,7,moderate
108,22,64,16,0.40,0.20,0.59,5,healthy
98,18,58,14,0.42,0.18,0.59,5,healthy
125,26,74,18,0.39,0.21,0.59,6,healthy
135,28,80,20,0.41,0.21,0.59,7,healthy
480,300,8,110,0.68,0.63,0.02,3,high
460,288,9,105,0.66,0.63,0.02,3,high
